Date,Open,High,Low,Close,Adj Close,Volume
1983-03-17,12.791739,12.838653,12.729188,12.807377,4.423251,997581
1983-03-18,12.791739,12.885566,12.697912,12.744826,4.401647,1645849
1983-03-21,12.838653,12.979393,12.697912,12.885566,4.450255,2284525
1983-03-22,12.916842,13.010669,12.885566,12.885566,4.450255,2872043
1983-03-23,12.916842,13.354701,12.916842,13.245236,4.574471,3526706
1983-03-24,13.260874,13.307787,13.135771,13.198323,4.558272,1649846
1983-03-25,13.198323,13.276512,13.010669,13.135771,4.536667,1898442
1983-03-28,13.135771,13.182685,12.979393,13.026307,4.498860,1024759
1983-03-29,12.995031,13.167047,12.995031,13.104496,4.525864,1409243
1983-03-30,13.104496,13.370339,13.104496,13.323425,4.601477,1499569
1983-03-31,13.385977,13.448528,13.135771,13.135771,4.536667,1696208
1983-04-04,13.135771,13.151409,12.948117,13.026307,4.498860,1844886
1983-04-05,13.041944,13.104496,12.963755,13.041944,4.504261,1633859
1983-04-06,13.010669,13.041944,12.854291,12.916842,4.461057,1708997
1983-04-07,13.010669,13.057582,12.916842,12.963755,4.477259,1851281
1983-04-08,12.963755,13.198323,12.901204,13.198323,4.558272,1278151
1983-04-11,13.260874,13.542355,13.229598,13.542355,4.677089,2104673
1983-04-12,13.495441,13.511079,13.370339,13.448528,4.644686,1959991
1983-04-13,13.511079,13.620544,13.432890,13.511079,4.666286,1837692
1983-04-14,13.589268,13.604906,13.448528,13.604906,4.698690,2096679
1983-04-15,13.620544,13.636182,13.542355,13.604906,4.698690,1702603
1983-04-18,13.604906,13.886387,13.604906,13.886387,4.795904,3023119
1983-04-19,13.886387,13.948938,13.698733,13.886387,4.795904,1841689
1983-04-20,13.886387,14.105316,13.886387,14.011489,4.839112,1686616
1983-04-21,14.011489,14.074041,13.823836,13.870749,4.790506,2109469
1983-04-22,13.855111,13.917662,13.636182,13.651819,4.714896,1288543
1983-04-25,13.620544,13.730009,13.511079,13.511079,4.666286,1767350
1983-04-26,13.651819,13.855111,13.432890,13.855111,4.785106,2141443
1983-04-27,13.792560,13.964576,13.620544,13.651819,4.714896,2602664
1983-04-28,13.745646,13.823836,13.651819,13.823836,4.774302,1940807
1983-04-29,13.917662,14.027127,13.808198,13.995852,4.833714,1799323
1983-05-02,13.839473,14.027127,13.636182,13.636182,4.709493,2214982
1983-05-03,13.636182,13.761284,13.557993,13.761284,4.752701,2539516
1983-05-04,13.855111,13.933300,13.776922,13.823836,4.774302,3559479
1983-05-05,13.823836,13.870749,13.776922,13.839473,4.779706,1571510
1983-05-06,13.870749,14.089679,13.776922,13.948938,4.817509,3921582
1983-05-09,13.870749,13.980214,13.839473,13.855111,4.785106,1971982
1983-05-10,13.823836,13.948938,13.808198,13.886387,4.795904,1179032
1983-05-11,13.823836,13.870749,13.604906,13.667457,4.720293,1905636
